assay.id,petri.id,year,month,company,farm,drug,date,rep,conc,time,stage,sex,prop.alive,prev.emb,live
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,1
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,0
1,25,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,0,0,both,male,0.8,0,0
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,26,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,31.3,0,both,male,1,0,1
1,27,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,62.5,0,both,male,1,0,1
1,27,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,62.5,0,both,male,1,0,1
1,27,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,62.5,0,both,male,1,0,1
1,27,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,62.5,0,both,male,1,0,1
1,27,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,62.5,0,both,male,1,0,1
1,27,2010,09,mowi,Wicklow Point,emb,2010-09-28,5,62.5,0,both,male,1,0,1
